,Unnamed: 0,rev_page,page_title,date,same_day_revs,prev_day_revs,week_before_revs,month_before_revs,year_before_revs,week_after_revs,day_after_revs,day_after_2_revs,category,category_score,day,around,before,boost,same_day_views,prev_day_views,week_before_views,month_before_views,year_before_views,day_after_views,is_event,link,title,is_first_event,category_score_upd,category_upd
14844,14844,12079575,Peter_von_Kant,20220601,0.0,0.0,0.0,0.0,51.0,1.0,1.0,0.0,Culture.Media.Media*,0.9914325475692748,20220601.0,559.0,364.0,1.5357142857142858,199.0,255.0,695.0,951.0,951.0,353.0,0,-1,-1,,1.0000100135803223,Culture.Media.Films
14845,14845,12079781,Liste_der_Nummer-eins-Hits_in_Kroatien_(2022),20220601,0.0,0.0,1.0,3.0,20.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.9219318628311157,Culture.Media.Media*
14846,14846,12080108,FerdBlu2017,20220601,0.0,4.0,5.0,5.0,14.0,8.0,4.0,4.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14847,14847,12080133,Dateiüberprüfung/Dateiüberprüfung_(2022-01-13),20220601,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14848,14848,12080201,Redlinux/alt2022,20220601,0.0,0.0,0.0,3.0,10.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14849,14849,12080226,Mai_2022,20220601,9.0,4.0,54.0,138.0,169.0,14.0,3.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,0,-1,-1,,-1.0,-1
14850,14850,12080228,Juni_2022,20220601,3.0,1.0,1.0,11.0,18.0,46.0,1.0,12.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14851,14851,12080593,Liste_der_Nummer-eins-Hits_in_Südafrika_(2022),20220601,0.0,0.0,0.0,3.0,18.0,2.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.8519628047943115,Culture.Media.Media*
14852,14852,12081374,Liste_der_Nummer-eins-Hits_in_Polen_(2022),20220601,0.0,0.0,1.0,3.0,21.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.9263137578964233,Geography.Regions.Europe.Europe*
14853,14853,12081576,Dateiüberprüfung/Dateiüberprüfung_(2022-01-14),20220601,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14854,14854,12081709,Zarei,20220601,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.7371681928634644,Culture.Media.Media*
14855,14855,12082418,Altsprachenfreund/Buchdruck,20220601,0.0,0.0,0.0,3.0,15.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14856,14856,12082688,Liste_der_antiken_Gold-_und_Silberschmiede,20220601,0.0,0.0,0.0,0.0,47.0,7.0,6.0,1.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.6584275364875793,Geography.Regions.Europe.Europe*
14857,14857,12082689,83.78.246.84,20220601,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14858,14858,12082733,Mälzer_und_Henssler_liefern_ab!,20220601,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,-1,-1.0,,,,,,,,,,,0,-1,-1,,0.880807101726532,Culture.Food_and_drink
14859,14859,12082885,Dateiüberprüfung/Dateiüberprüfung_(2022-01-15),20220601,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14860,14860,12082946,Kghbln/Archiv/2022,20220601,0.0,0.0,0.0,1.0,9.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14861,14861,12084141,Dateiüberprüfung/Dateiüberprüfung_(2022-01-16),20220601,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
